id,isCreator,tag,followerCount,node_index
100000,False,finance,47,0
100001,False,finance,55,1
100002,False,finance,42,2
100003,False,finance,52,3
100004,False,finance,58,4
100005,False,finance,43,5
100006,False,finance,46,6
100007,False,finance,49,7
100008,False,finance,52,8
100009,False,finance,45,9
100010,False,finance,49,10
100011,False,finance,43,11
100012,False,finance,52,12
100013,False,finance,52,13
100014,False,finance,46,14
100015,False,finance,54,15
100016,False,finance,40,16
100017,False,finance,45,17
100018,False,finance,46,18
100019,False,finance,51,19
100020,False,finance,64,20
100021,False,finance,52,21
100022,False,finance,38,22
100023,False,finance,33,23
100024,False,finance,48,24
100025,False,finance,58,25
100026,False,finance,45,26
100027,False,finance,41,27
100028,False,finance,56,28
100029,False,finance,54,29
100030,False,finance,56,30
100031,False,finance,47,31
100032,False,finance,59,32
100033,False,finance,46,33
100034,False,finance,46,34
100035,False,finance,55,35
100036,False,finance,60,36
100037,False,finance,40,37
100038,False,finance,56,38
100039,False,finance,56,39
100040,False,finance,50,40
100041,False,finance,46,41
100042,False,finance,61,42
100043,False,finance,48,43
100044,False,finance,44,44
100045,False,finance,45,45
100046,False,finance,63,46
100047,False,finance,53,47
100048,False,finance,57,48
100049,False,finance,60,49
100050,False,finance,46,50
100051,False,finance,44,51
100052,False,finance,48,52
100053,False,finance,40,53
100054,False,finance,65,54
100055,False,finance,50,55
100056,False,finance,69,56
100057,False,finance,50,57
100058,False,finance,45,58
100059,False,finance,52,59
100060,False,finance,34,60
100061,False,finance,61,61
100062,False,finance,41,62
100063,False,finance,54,63
100064,False,finance,44,64
100065,False,finance,47,65
100066,False,finance,53,66
100067,False,finance,39,67
100068,False,finance,46,68
100069,False,finance,54,69
100070,False,finance,50,70
100071,False,finance,53,71
100072,False,finance,54,72
100073,False,finance,64,73
100074,False,finance,47,74
100075,False,finance,45,75
100076,False,finance,57,76
100077,False,finance,51,77
100078,False,finance,39,78
100079,False,finance,61,79
100080,False,finance,47,80
100081,False,finance,60,81
100082,False,finance,53,82
100083,False,finance,52,83
100084,False,finance,39,84
100085,False,finance,51,85
100086,False,finance,53,86
100087,False,finance,55,87
100088,False,finance,46,88
100089,False,finance,53,89
100090,False,finance,53,90
100091,False,finance,39,91
100092,False,finance,45,92
100093,False,finance,60,93
100094,False,finance,57,94
100095,False,finance,52,95
100096,False,finance,43,96
100097,False,finance,45,97
100098,False,finance,53,98
100099,False,finance,62,99
100100,False,finance,48,100
100101,False,finance,45,101
100102,False,finance,58,102
100103,False,finance,42,103
100104,False,finance,64,104
100105,False,finance,51,105
100106,False,finance,41,106
100107,False,finance,60,107
100108,False,finance,54,108
100109,False,finance,47,109
100110,False,finance,57,110
100111,False,finance,50,111
100112,False,finance,57,112
100113,False,finance,54,113
100114,False,finance,60,114
100115,False,finance,47,115
100116,False,finance,52,116
100117,False,finance,49,117
100118,False,finance,45,118
100119,False,finance,29,119
100120,False,finance,57,120
100121,False,finance,41,121
100122,False,finance,56,122
100123,False,finance,53,123
100124,False,finance,34,124
100125,False,finance,51,125
100126,False,finance,50,126
100127,False,finance,57,127
100128,False,finance,49,128
100129,False,finance,58,129
100130,False,finance,48,130
100131,False,finance,42,131
100132,False,finance,51,132
100133,False,finance,53,133
100134,False,finance,51,134
100135,False,finance,48,135
100136,False,finance,47,136
100137,False,finance,33,137
100138,False,finance,59,138
100139,False,finance,49,139
100140,False,finance,50,140
100141,False,finance,42,141
100142,False,finance,48,142
100143,False,finance,53,143
100144,False,finance,47,144
100145,False,finance,50,145
100146,False,finance,53,146
100147,False,finance,37,147
100148,False,finance,64,148
100149,False,finance,48,149
100150,False,finance,49,150
100151,False,finance,64,151
100152,False,finance,43,152
100153,False,finance,39,153
100154,False,finance,39,154
100155,False,finance,37,155
100156,False,finance,58,156
100157,False,finance,57,157
100158,False,finance,40,158
100159,False,finance,53,159
100160,False,finance,55,160
100161,False,finance,45,161
100162,False,finance,55,162
100163,False,finance,47,163
100164,False,finance,47,164
100165,False,finance,59,165
100166,False,finance,55,166
100167,False,finance,50,167
100168,False,finance,46,168
100169,False,finance,48,169
100170,False,finance,61,170
100171,False,finance,66,171
100172,False,finance,53,172
100173,False,finance,45,173
100174,False,finance,54,174
100175,False,finance,39,175
100176,False,finance,35,176
100177,False,finance,49,177
100178,False,finance,47,178
100179,False,finance,41,179
100180,False,finance,52,180
100181,False,finance,38,181
100182,False,finance,54,182
100183,False,finance,47,183
100184,False,finance,47,184
100185,False,finance,56,185
100186,False,finance,48,186
100187,False,finance,40,187
100188,False,finance,35,188
100189,False,finance,40,189
100190,False,finance,55,190
100191,False,finance,69,191
100192,False,finance,45,192
100193,False,finance,37,193
100194,False,finance,53,194
100195,False,finance,49,195
100196,False,finance,52,196
100197,False,finance,33,197
100198,False,finance,49,198
100199,False,finance,45,199
100200,False,finance,49,200
100201,False,finance,52,201
100202,False,finance,54,202
100203,False,finance,46,203
100204,False,finance,54,204
100205,False,finance,61,205
100206,False,finance,52,206
100207,False,finance,63,207
100208,False,finance,33,208
100209,False,finance,47,209
100210,False,finance,52,210
100211,False,finance,58,211
100212,False,finance,48,212
100213,False,finance,58,213
100214,False,finance,49,214
100215,False,finance,67,215
100216,False,finance,44,216
100217,False,finance,52,217
100218,False,finance,40,218
100219,False,finance,50,219
100220,False,finance,50,220
100221,False,finance,51,221
100222,False,finance,60,222
100223,False,finance,41,223
100224,False,finance,56,224
100225,False,finance,54,225
100226,False,finance,41,226
100227,False,finance,47,227
100228,False,finance,48,228
100229,False,finance,61,229
100230,False,finance,50,230
100231,False,finance,48,231
100232,False,finance,50,232
100233,False,finance,50,233
100234,False,finance,53,234
100235,False,finance,37,235
100236,False,finance,41,236
100237,False,finance,41,237
100238,False,finance,43,238
100239,False,finance,61,239
100240,False,finance,53,240
100241,False,finance,43,241
100242,False,finance,42,242
100243,False,finance,42,243
100244,False,finance,40,244
100245,False,finance,43,245
100246,False,finance,50,246
100247,False,finance,53,247
100248,False,finance,36,248
100249,False,finance,57,249
100250,False,finance,43,250
100251,False,finance,47,251
100252,False,finance,52,252
100253,False,finance,49,253
100254,False,finance,31,254
100255,False,finance,50,255
100256,False,finance,40,256
100257,False,finance,51,257
100258,False,finance,45,258
100259,False,finance,43,259
100260,False,finance,52,260
100261,False,finance,56,261
100262,False,finance,38,262
100263,False,finance,52,263
100264,False,finance,49,264
100265,False,finance,45,265
100266,False,finance,53,266
100267,False,finance,52,267
100268,False,finance,39,268
100269,False,finance,44,269
100270,False,finance,43,270
100271,False,finance,38,271
100272,False,finance,40,272
100273,False,finance,57,273
100274,False,finance,42,274
100275,False,finance,63,275
100276,False,finance,51,276
100277,False,finance,56,277
100278,False,finance,46,278
100279,False,finance,50,279
100280,False,finance,40,280
100281,False,finance,45,281
100282,False,finance,42,282
100283,False,finance,51,283
100284,False,finance,46,284
100285,False,finance,46,285
100286,False,finance,45,286
100287,False,finance,56,287
100288,False,finance,49,288
100289,False,finance,47,289
100290,False,finance,40,290
100291,False,finance,64,291
100292,False,finance,51,292
100293,False,finance,41,293
100294,False,finance,43,294
100295,False,finance,42,295
100296,False,finance,53,296
100297,False,finance,47,297
100298,False,finance,48,298
100299,False,finance,49,299
100300,False,finance,49,300
100301,False,finance,55,301
100302,False,finance,44,302
100303,False,finance,47,303
100304,False,finance,61,304
100305,False,finance,53,305
100306,False,finance,41,306
100307,False,finance,52,307
100308,False,finance,60,308
100309,False,finance,41,309
100310,False,finance,44,310
100311,False,finance,47,311
100312,False,finance,40,312
100313,False,finance,41,313
100314,False,finance,57,314
100315,False,finance,44,315
100316,False,finance,55,316
100317,False,finance,54,317
100318,False,finance,44,318
100319,False,finance,43,319
100320,False,finance,52,320
100321,False,finance,49,321
100322,False,finance,42,322
100323,False,finance,50,323
100324,False,finance,63,324
100325,False,finance,54,325
100326,False,finance,52,326
100327,False,finance,48,327
100328,False,finance,49,328
100329,False,finance,59,329
100330,False,finance,52,330
100331,False,finance,35,331
100332,False,finance,57,332
100333,False,finance,46,333
100334,False,finance,51,334
100335,False,finance,47,335
100336,False,finance,55,336
100337,False,finance,44,337
100338,False,finance,41,338
100339,False,finance,50,339
100340,False,finance,62,340
100341,False,finance,52,341
100342,False,finance,41,342
100343,False,finance,50,343
100344,False,finance,37,344
100345,False,finance,43,345
100346,False,finance,51,346
100347,False,finance,56,347
100348,False,finance,50,348
100349,False,finance,48,349
100350,False,finance,42,350
100351,False,finance,47,351
100352,False,finance,53,352
100353,False,finance,55,353
100354,False,finance,44,354
100355,False,finance,57,355
100356,False,finance,53,356
100357,False,finance,39,357
